feature,target,coef,intercept,mae,rmse,r2_train,r2_test
PT08.S1(CO),CO(GT),0.005209894383679311,-3.616173901795531,0.60360237710857,0.8704109465140983,0.6287385307011883,0.6362910673708726
PT08.S3(NOx),NOx(GT),-0.500831577140473,658.9941704633652,115.71782656472267,159.1873882216168,0.38978393798263133,0.40539562709185617
PT08.S4(NO2),NO2(GT),0.018168192403101004,83.22828115284388,36.08714430129629,46.0395551646,0.016291685865277405,0.02495049232034452
